CREATE TABLE [USysPg1] (
  [ProjectID] TEXT(255) DEFAULT ,
  [PlotNumber] TEXT(255) DEFAULT ,
  [FieldNumber] TEXT(255) DEFAULT ,
  [SiteSurveyor] TEXT(255) DEFAULT ,
  [Location] TEXT(255) DEFAULT ,
  [Zone] TEXT(255) DEFAULT ,
  [SubstrateDecWood] TEXT(255) DEFAULT ,
  [SubstrateBedRock] TEXT(255) DEFAULT ,
  [Longitude] TEXT(255) DEFAULT ,
  [FSRegionDistrict] TEXT(255) DEFAULT ,
  [NtsMapSheet] TEXT(255) DEFAULT ,
  [UTMZone] TEXT(255) DEFAULT ,
  [Date] DATETIME DEFAULT ,
  [Ecosection] TEXT(255) DEFAULT ,
  [Latitude] TEXT(255) DEFAULT ,
  [UTMNorthing] TEXT(255) DEFAULT ,
  [LocationAccuracy] TEXT(255) DEFAULT ,
  [YCoord] TEXT(255) DEFAULT ,
  [XCoord] TEXT(255) DEFAULT ,
  [AirPhotoNum] TEXT(255) DEFAULT ,
  [SiteSeries] TEXT(255) DEFAULT ,
  [RealmClass] TEXT(255) DEFAULT ,
  [TransDistrib] TEXT(255) DEFAULT ,
  [MapUnit] TEXT(255) DEFAULT ,
  [SubZone] TEXT(255) DEFAULT ,
  [MoistureRegime] TEXT(255) DEFAULT ,
  [NutrientRegime] TEXT(255) DEFAULT ,
  [SuccessionalStatus] TEXT(255) DEFAULT ,
  [StructuralStage] TEXT(255) DEFAULT ,
  [Submit_by_Email] TEXT(255) DEFAULT ,
  [StandAge] TEXT(255) DEFAULT ,
  [PlotRepresenting] TEXT(255) DEFAULT ,
  [Pic1] MEMO DEFAULT ,
  [SiteDisturbance1] TEXT(255) DEFAULT ,
  [SiteDisturbance3] TEXT(255) DEFAULT ,
  [SiteDisturbance2] TEXT(255) DEFAULT ,
  [Exposure1] TEXT(255) DEFAULT ,
  [Exposure2] TEXT(255) DEFAULT ,
  [SiteNotes] TEXT(255) DEFAULT ,
  [SubstrateOrganicMatter] TEXT(255) DEFAULT ,
  [SubstrateWater] TEXT(255) DEFAULT ,
  [SubstrateMineralSoil] TEXT(255) DEFAULT ,
  [SubstrateRocks] TEXT(255) DEFAULT ,
  [Elevation] TEXT(255) DEFAULT ,
  [SlopeGradient] TEXT(255) DEFAULT ,
  [Aspect] TEXT(255) DEFAULT ,
  [MesoSlopePosition] TEXT(255) DEFAULT ,
  [SurfaceShape] TEXT(255) DEFAULT ,
  [Photo] TEXT(255) DEFAULT ,
  [UTMEasting] TEXT(255) DEFAULT ,
  [SurfaceTopographySize] TEXT(255) DEFAULT ,
  [SurfaceTopographyType] TEXT(255) DEFAULT ,
  [PDFversion] TEXT(255) DEFAULT 
);

CREATE INDEX [AirPhotoNum] ON [USysPg1] ([AirPhotoNum]);
CREATE INDEX [ProjectID] ON [USysPg1] ([ProjectID]);

